"record_count","total_passengers","origin_airport_id","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR"
1645,12172,15061,"Stevens Village, AK","AK"
1630,10476,15385,"Twin Hills, AK","AK"
1616,3574639,15718,"Warsaw, Poland",""
1616,4148095,15058,"Moscow, Russia",""
1615,518343,16133,"Youngstown/Warren, OH","OH"
1615,3334729,11928,"Glasgow, United Kingdom",""
1613,1903885,12397,"Ithaca/Cortland, NY","NY"
1605,1204299,15048,"Sioux City, IA","IA"
1580,1259608,13502,"Montrose/Delta, CO","CO"
1579,8633,15853,"South Naknek, AK","AK"
1579,3371419,12991,"Lisbon, Portugal",""
1573,6089,14046,"Pedro Bay, AK","AK"
1573,118720,14886,"Saltillo, Mexico",""
1569,11165,12784,"Perryville, AK","AK"
1536,1109615,11470,"Wenatchee, WA","WA"
1516,204607,13546,"Moses Lake, WA","WA"
1512,1508401,15513,"St. Lucia, Saint Lucia",""
1498,1130821,14487,"Redding, CA","CA"
1496,1329678,16163,"Quebec, Canada","QC"
1496,4290399,10357,"Stockholm, Sweden",""
1492,1015352,14960,"Wichita Falls, TX","TX"
1485,346723,14259,"Portsmouth, NH","NH"
1472,314575,11233,"Cheyenne, WY","WY"
1472,15236,12638,"Chignik Lagoon, AK","AK"
1455,46903,10775,"Barter Island, AK","AK"
1454,1232351,10486,"Barranquilla, Colombia",""
1453,1557237,13169,"Maracaibo, Venezuela",""
1452,992292,14222,"Pago Pago, TT","TT"
1448,6735106,14066,"Beijing, China",""
1439,590157,13964,"North Bend/Coos Bay, OR","OR"
1438,1346,15567,"Sao Paulo, Brazil",""
1430,1220872,14303,"Pullman, WA","WA"
1410,1494876,10157,"Arcata/Eureka, CA","CA"
1406,32822,12841,"King Cove, AK","AK"
1401,1037902,15041,"Sun Valley/Hailey/Ketchum, ID","ID"
1398,53206,13504,"Metlakatla, AK","AK"
1397,1080361,16293,"Zacatecas, Mexico",""
1387,266162,15246,"Toluca, Mexico",""
1385,60670,11588,"Eastsound, WA","WA"
1376,728861,11050,"Port Angeles, WA","WA"
1364,691265,10268,"Waterloo, IA","IA"
1363,2623519,14078,"Panama City, FL","FL"
1358,933622,11888,"Georgetown, Guyana",""
1354,1706859,11982,"Killeen, TX","TX"
1350,533923,10631,"Bemidji, MN","MN"
1345,1084734,14842,"San Angelo, TX","TX"
1335,2292875,13602,"Nadi, Fiji",""
1335,539799,13024,"Klamath Falls, OR","OR"
1328,1045135,12250,"Hyannis, MA","MA"
1318,1689373,13795,"Jacksonville/Camp Lejeune, NC","NC"
1309,844519,13034,"Lanai, HI","HI"
1308,112511,14942,"Seldovia, AK","AK"
1295,355784,14054,"Pendleton, OR","OR"
