"description","record_count","total_passengers","origin_airport_dot_id","origin_airport_iata","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_WAC","airport_type","latitude","longitude","iso_country","municipality","iso_region","gps_code","local_code","continent","elevation_feet"
"Chetumal, Mexico: Chetumal International",2,635,11167,"CTM","Chetumal, Mexico","",148,"medium_airport",18.5046997070312,-88.3267974853516,"MX","Chetumal","MX-ROO","MMCM","","NA",39
"Wichita, KS: McConnell AFB",134,616,12263,"IAB","Wichita, KS","KS",62,"medium_airport",37.62189865,-97.26820374,"US","Wichita","US-KS","KIAB","IAB","NA",1371
"Lille, France: Lille Lesquin",2,613,12985,"LIL","Lille, France","",427,"medium_airport",50.5619010925293,3.08944010734558,"FR","Lille/Lesquin","FR-O","LFQQ","","EU",157
"Broomfield, CO: Rocky Mountain Metropolitan",53,606,10630,"BJC","Broomfield, CO","CO",82,"medium_airport",39.90879822,-105.1169968,"US","Denver","US-CO","KBJC","BJC","NA",5673
"Bridgeport, CT: Igor I Sikorsky Memorial",167,605,10535,"BDR","Bridgeport, CT","CT",11,"medium_airport",41.163501739502,-73.1261978149414,"US","Bridgeport","US-CT","KBDR","BDR","NA",9
"Iquitos, Peru: Coronel Francisco Secada Vignetta International",7,605,12369,"IQT","Iquitos, Peru","",368,"medium_airport",-3.78473997116089,-73.3087997436523,"PE","Iquitos","PE-LOR","SPQT","","SA",306
"Santiago de Compostela, Spain: Santiago",17,605,14721,"SCQ","Santiago de Compostela, Spain","",482,"large_airport",42.8963012695312,-8.41514015197754,"ES","Santiago de Compostela","ES-GA","LEST","","EU",1213
"Tenerife, Spain: Tenerife Sur",10,593,15183,"TFS","Tenerife, Spain","",482,"large_airport",28.044500351,-16.5725002289,"ES","Tenerife Island","ES-CN","GCTS","","EU",209
"Spokane, WA: Fairchild AFB",9,584,14848,"SKA","Spokane, WA","WA",93,"large_airport",47.6151008606,-117.65599823,"US","Spokane","US-WA","KSKA","SKA","NA",2461
"Chandalar, AK: Chandalar Lake",244,584,15731,"WCR","Chandalar, AK","AK",1,"small_airport",67.5045013428,-148.483001709,"US","Chandalar Lake","US-AK","PALR","WCR","NA",1920
